         11521085 function calls (10993404 primitive calls) in 5.859 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  988/312    0.012    0.000    1.888    0.006 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/compiler_machinery.py:268(_runPass)
43010/18921    0.012    0.000    0.084    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/_utils.py:44(__str__)
    16840    0.012    0.000    0.017    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/_utils.py:24(deduplicate)
   155130    0.011    0.000    0.016    0.000 {built-in method builtins.issubclass}
    18686    0.011    0.000    0.069    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/event.py:404(end_event)
      183    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
      380    0.011    0.000    0.075    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/analysis.py:23(compute_use_defs)
      118    0.011    0.000    0.011    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     3099    0.011    0.000    0.047    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/targetconfig.py:199(<dictcomp>)
    18686    0.011    0.000    0.056    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/event.py:390(start_event)
32669/32384    0.011    0.000    0.024    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/_utils.py:54(get_reference)
    55617    0.010    0.000    0.013    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:117(isComplexType)
    25687    0.010    0.000    0.013    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/event.py:270(on_end)
53565/51047    0.010    0.000    0.094    0.000 {built-in method builtins.next}
    11467    0.009    0.000    0.040    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/instructions.py:13(__init__)
   106070    0.009    0.000    0.009    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/core/multiarray.py:740(dot)
   100000    0.009    0.000    0.009    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2107(_clip_dispatcher)
14011/13691    0.009    0.000    0.176    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
95446/93470    0.009    0.000    0.027    0.000 {built-in method builtins.repr}
22796/18369    0.009    0.000    0.014    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/types/abstract.py:121(__hash__)
    37648    0.008    0.000    0.012    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/event.py:66(_guard_kind)
26656/25826    0.008    0.000    0.011    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/types/abstract.py:124(__eq__)
    27625    0.008    0.000    0.015    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/utils.py:497(stream_list)
143715/140935    0.008    0.000    0.008    0.000 {built-in method builtins.len}
      668    0.008    0.000    0.026    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/np/numpy_support.py:357(ufunc_find_matching_loop)
32886/32490    0.008    0.000    0.028    0.000 {method 'join' of 'str' objects}
   109522    0.008    0.000    0.013    0.000 {method 'get' of 'dict' objects}
      183    0.007    0.000    0.007    0.000 {built-in method io.open_code}
    16809    0.007    0.000    0.061    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/values.py:537(__init__)
    16206    0.007    0.000    0.062    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/binding/ffi.py:70(__enter__)
9677/9635    0.007    0.000    0.008    0.000 {built-in method __new__ of type object at 0x1047595f0}
    43828    0.007    0.000    0.015    0.000 <frozen abc>:117(__instancecheck__)
    16206    0.007    0.000    0.073    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/binding/ffi.py:76(__exit__)
    92180    0.007    0.000    0.007    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/pprint.py:92(__init__)
    55629    0.007    0.000    0.007    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    51374    0.007    0.000    0.007    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/event.py:138(is_start)
        1    0.006    0.006    0.006    0.006 {built-in method set_icon}
   119280    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
    43828    0.006    0.000    0.008    0.000 {built-in method _abc._abc_instancecheck}
    17611    0.006    0.000    0.054    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/values.py:557(_set_name)
  617/562    0.006    0.000    0.589    0.001 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/types/functions.py:281(get_call_type)
     3678    0.006    0.000    0.020    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typing/context.py:542(_rate_arguments)
    77694    0.006    0.000    0.006    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/targetconfig.py:38(default)
    10413    0.006    0.000    0.007    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/contextlib.py:104(__init__)
    25687    0.006    0.000    0.007    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/event.py:265(on_start)
    65044    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
     3418    0.006    0.000    0.019    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/colorama/ansitowin32.py:81(__init__)
     1862    0.006    0.000    0.017    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/utils.py:350(order_by_target_specificity)
    16695    0.005    0.000    0.007    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/ir.py:1275(find_insts)
    95028    0.005    0.000    0.005    0.000 {method 'write' of '_io.StringIO' objects}
      114    0.005    0.000    0.020    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/postproc.py:179(_patch_var_dels)
    31816    0.005    0.000    0.023    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typing/templates.py:1303(new_registrations)
        1    0.005    0.005    0.005    0.005 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:107(__init__)
    12274    0.005    0.000    0.008    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/values.py:564(_get_reference)
      342    0.005    0.000    0.011    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/analysis.py:118(compute_dead_maps)
      425    0.005    0.000    0.028    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typing/context.py:592(resolve_overload)
    20140    0.005    0.000    0.005    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/cpu_options.py:123(<genexpr>)
        1    0.005    0.005    0.005    0.005 {method 'encode' of 'ImagingEncoder' objects}
 1585/879    0.005    0.000    0.752    0.001 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/lowering.py:457(lower_inst)
      807    0.004    0.000    0.008    0.000 {built-in method builtins.__build_class__}
    98691    0.004    0.000    0.004    0.000 {method 'extend' of 'list' objects}
     1709    0.004    0.000    0.032    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/errors.py:301(_markup)
    27625    0.004    0.000    0.006    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/utils.py:506(sublist_iterator)
3915/1701    0.004    0.000    0.044    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typing/context.py:428(install_registry)
    16206    0.004    0.000    0.053    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/base.py:1243(enter_fn)
     7443    0.004    0.000    0.014    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/weakref.py:414(__getitem__)
    16206    0.004    0.000    0.065    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/base.py:1246(exit_fn)
     5357    0.004    0.000    0.007    0.000 <frozen os>:674(__getitem__)
    55617    0.004    0.000    0.004    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:2338(_norm_dispatcher)
     3176    0.004    0.000    0.021    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/base.py:352(install_registry)
13664/10952    0.004    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
40772/40565    0.004    0.000    0.013    0.000 {built-in method builtins.hasattr}
      745    0.004    0.000    0.004    0.000 {built-in method posix.stat}
    17848    0.004    0.000    0.088    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/ir.py:350(list_vars)
     5843    0.004    0.000    0.008    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typeconv/typeconv.py:40(check_compatible)
     7194    0.004    0.000    0.010    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/np/numpy_support.py:339(ufunc_can_cast)
    10413    0.004    0.000    0.011    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/contextlib.py:287(helper)
10413/9175    0.004    0.000    0.017    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/contextlib.py:141(__exit__)
      912    0.004    0.000    0.013    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/analysis.py:235(compute_cfg_from_blocks)
    53212    0.004    0.000    0.004    0.000 {built-in method time.perf_counter}
    31658    0.004    0.000    0.004    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/_utils.py:13(is_used)
      865    0.004    0.000    0.010    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/instructions.py:68(__init__)
    11467    0.003    0.000    0.004    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/builder.py:351(_insert)
5487/5439    0.003    0.000    0.007    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/values.py:445(__init__)
      711    0.003    0.000    0.004    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/analysis.py:81(def_reach)
2544/1594    0.003    0.000    0.106    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/functools.py:981(__get__)
    25687    0.003    0.000    0.003    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/event.py:148(is_end)
2473/1350    0.003    0.000    0.021    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/runtime/context.py:343(get_meminfos)
     1135    0.003    0.000    0.003    0.000 {built-in method builtins.print}
      397    0.003    0.000    0.152    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/cpu.py:60(load_additional_registries)
    49744    0.003    0.000    0.003    0.000 {method 'copy' of 'dict' objects}
10413/9154    0.003    0.000    0.063    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/contextlib.py:132(__enter__)
      994    0.003    0.000    0.009    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typing/templates.py:880(make_overload_template)
    37372    0.003    0.000    0.003    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/event.py:108(kind)
      251    0.003    0.000    0.005    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numpy/core/function_base.py:23(linspace)
27359/22399    0.003    0.000    0.005    0.000 {built-in method builtins.hash}
6999/6986    0.003    0.000    0.013    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typing/context.py:517(can_convert)
    44360    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
     6073    0.003    0.000    0.018    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/cpu_options.py:16(__repr__)
    34031    0.003    0.000    0.003    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/types/abstract.py:96(key)
      152    0.003    0.000    0.007    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/compiler_machinery.py:370(dependency_analysis)
     6903    0.003    0.000    0.005    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/types.py:30(__ne__)
     2014    0.003    0.000    0.004    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/cpu_options.py:115(<dictcomp>)
     7131    0.003    0.000    0.006    0.000 <__array_function__ internals>:177(can_cast)
      660    0.003    0.000    0.040    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typing/npydecl.py:97(generic)
      473    0.003    0.000    0.008    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/inspect.py:2333(_signature_from_function)
